 property_id,tile_url,latitude,longitude,min_price,max_price,beds_range, prop_display_name,phone_number,bustop_within_100,inside_campus,fitness_within_200m,fitness_within_500m,fitness_within_1000m,market_within_200m,market_within_500m,market_within_1000m,within_unvCen_1km,within_unvCen_2km,within_unvCen_3km
760594,'https://d2cc5bro5bu049.cloudfront.net/20175/6598575/tile.jpg',43.080303,-89.467489,995,, '2 BR',5109 Lake Mendota Dr,,no,no,no,no,yes,no,no,no,no,no,no
741254,'https://d2cc5bro5bu049.cloudfront.net/12433/12349718/tile.jpg',43.068688,-89.387334,944,1160, '1 - 2 BR',432 W Wilson St,6085711474,yes,no,no,yes,yes,no,no,yes,no,no,yes
1281981,'https://d2cc5bro5bu049.cloudfront.net/19872/17341283/tile.jpg',43.071230,-89.414111,1900,, '3 BR',142 N. Breese Terrace,6083479629,yes,no,no,no,yes,no,no,yes,yes,yes,yes
1413024,'https://d2cc5bro5bu049.cloudfront.net/19498/11798742/tile.jpg',43.078037,-89.383314,1750,1850, '3 - 4 BR',126 North Butler Street,6085757744,yes,no,no,yes,yes,no,no,yes,no,no,no
1878427,'https://d2cc5bro5bu049.cloudfront.net/19664/25886472/tile.jpg',43.070801,-89.388544,2750,, '5 BR',16 S Broom Street,6088889814,yes,no,yes,yes,yes,no,yes,yes,no,no,yes
2232061,'https://d2cc5bro5bu049.cloudfront.net/74440/22895381/tile.jpeg',43.062338,-89.491948,1250,, '2 BR',301 S Yellowstone Dr,2624422464,no,no,no,no,no,no,no,no,no,no,no
2418547,'https://d2cc5bro5bu049.cloudfront.net/76727/20179176/tile.jpg',43.078501,-89.383941,2275,, '4 BR',217 N Hamilton St,6085754163,yes,no,no,yes,yes,no,no,yes,no,no,no
1510902,'https://d2cc5bro5bu049.cloudfront.net/19650/12634575/tile.jpg',43.072107,-89.428890,1750,, '2 BR',2505 University Avenue,6087121036,yes,no,no,no,no,no,no,no,no,yes,yes
3360402,'https://d2cc5bro5bu049.cloudfront.net/14615/28554518/tile.jpg',43.082266,-89.447050,1575,, '3 BR',3405 Viburnum Ave.,6086589049,no,no,no,no,no,no,no,yes,no,no,no
742725,'https://d2cc5bro5bu049.cloudfront.net/12168/28602621/tile.png',43.059895,-89.405679,990,, '2 BR',1132 Erin St,6085777900,no,no,no,no,no,no,no,no,no,no,yes
