Longitude,Latitude,OBJECTID,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,Route,primary_street,address_range,cross_location
-89.33820515,43.09559743,6674,1353,1353,S Fair Oaks & Capital City (NB),This stop (#1353) is northbound on the 171 block of Fair Oaks Ave (s) adjacent Capitol City Path,43.095595,-89.338206,7,S Fair Oaks,171,Capital City
-89.37036215,43.09436039,6675,1354,1354,Sherman & N Thorton (WB),This stop (#1354) is westbound on the 1500 block of Sherman Ave nearside Thornton Ave (n),43.094358,-89.370363,2,Sherman,1500,N Thorton
-89.38397819,43.08036336,6676,1358,1358,E Gorham & N Hancock (WB),This stop (#1358) is westbound on the 400 block of Gorham St (e) nearside Hancock St (n),43.080361,-89.383979,"10, 27, 28, 81",E Gorham,400,N Hancock
-89.35796716,43.0911414,6677,1372,1372,S First & E Main (SB),This stop (#1372) is southbound on the 98 block of First St (s) farside Main St (e),43.091139,-89.357968,37,S First,98,E Main
-89.35100113,43.10486242,6678,1375,1375,North & Hoard (NB),This stop (#1375) is northbound on the 499 block of North St nearside Hoard St,43.10486,-89.351002,"27, 56, 57",North,499,Hoard
-89.36388613,43.1011264,6679,1379,1379,Fordem & Mcguire (NB),This stop (#1379) is northbound on the 2101 block of Fordem Ave farside Mcguire St,43.101124,-89.363887,"2, 28",Fordem,2101,Mcguire
-89.3572541,43.11429342,6680,1380,1380,Aberg & Loftsgordan (WB),This stop (#1380) is westbound on the 2000 block of Aberg Ave nearside Loftsgordan Ave,43.114291,-89.357255,"4, 17, 20, 21, 27, 56, 57",Aberg,2000,Loftsgordan
-89.35748315,43.0938534,6681,1382,1382,E Washington & N Second (WB),This stop (#1382) is westbound on the 1998 block of E Washington Ave farside Second St (n),43.093851,-89.357484,"6, 14, 15, 56, 57",E Washington,1998,N Second
-89.34136017,43.09089942,6682,1386,1386,Oakridge & Maple (WB),This stop (#1386) is westbound on the 2998 block of Oakridge Ave farside Maple Ave,43.090897,-89.341361,38,Oakridge,2998,Maple
-89.35066816,43.09307141,6683,1388,1388,Atwood & Division (WB),This stop (#1388) is westbound on the 2100 block of Atwood Ave nearside Division St,43.093069,-89.350669,"3, 7, 37, 38",Atwood,2100,Division
-89.34667816,43.09367742,6684,1391,1391,Atwood & Ohio (EB),This stop (#1391) is eastbound on the 2401 block of Atwood Ave farside Ohio Ave,43.093675,-89.346679,"3, 7, 37, 38",Atwood,2401,Ohio
-89.37521218,43.08126438,6685,1392,1392,E Washington & N Livingston (WB),This stop (#1392) is westbound on the 800 block of E Washington Ave nearside Livingston St (n),43.081262,-89.375213,"6, 14, 15, 27, 37, 56, 57",E Washington,800,N Livingston
